,name,album,artist,length,acousticness,danceability,energy,loudness,tempo,valence,playlist
123,If I Said You Had A Beautiful Body Would You Hold It Against Me,Best Of The Bellamy Brothers,The Bellamy Brothers,192040,0.0334,0.741,0.508,-15.703,116.572,0.872,1970s
124,You Never Even Called Me By My Name,David Allan Coe - 16 Biggest Hits,David Allan Coe,314226,0.153,0.604,0.459,-13.19,105.908,0.505,1970s
125,I Love,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,125666,0.883,0.544,0.312,-12.146,91.974,0.505,1970s
126,Rhinestone Cowboy,Greatest Hits,Glen Campbell,209306,0.118,0.601,0.711,-3.998,115.168,0.719,1970s
127,Let Me Be There,Gold,Olivia Newton-John,177986,0.281,0.559,0.673,-7.693,129.015,0.83,1970s
128,Some Broken Hearts Never Mend - Single Version,20 Greatest Hits,Don Williams,168360,0.228,0.633,0.433,-16.442,97.527,0.816,1970s
129,What a Difference You've Made in My Life,The Essential Ronnie Milsap,Ronnie Milsap,239066,0.528,0.422,0.537,-10.214,96.198,0.43,1970s
130,Misty,Greatest Hits - Original Recordings,Ray Stevens,175933,0.187,0.591,0.551,-13.72,100.326,0.877,1970s
131,"Take Me Home, Country Roads",The Essential John Denver,John Denver,190040,0.715,0.456,0.383,-9.516,82.026,0.67,1970s
132,Southern Nights,Greatest Hits,Glen Campbell,179586,0.0376,0.651,0.937,-2.57,93.789,0.927,1970s
133,Wasted Days And Wasted Nights,Before The Next Teardrop Falls,Freddy Fender,171761,0.481,0.702,0.409,-8.84,88.516,0.885,1970s
134,The Most Beautiful Girl,Charlie Rich - 16 Biggest Hits,Charlie Rich,162866,0.702,0.566,0.409,-10.379,103.233,0.458,1970s
135,Jolene,Jolene,Dolly Parton,161533,0.566,0.674,0.537,-10.971,110.578,0.809,1970s
136,The Fightin' Side Of Me,HAG: The Hits Volume 2,Merle Haggard,169346,0.368,0.754,0.497,-11.14,95.502,0.789,1970s
137,Two Dollars in the Jukebox - 2008 Remaster,Rocky Mountain Music,Eddie Rabbitt,142773,0.067,0.759,0.621,-12.539,134.319,0.921,1970s
138,Family Tradition,The Bocephus Box Set,"Hank Williams, Jr.",242960,0.0238,0.66,0.523,-12.068,126.342,0.794,1970s
139,Stranger,The Essential Johnny Duncan,Johnny Duncan,189786,0.121,0.57,0.555,-9.147,117.646,0.901,1970s
140,"Louisiana Woman, Mississippi Man","Louisiana Woman, Mississippi Man",Conway Twitty,151731,0.477,0.62,0.711,-6.943,98.263,0.96,1970s
141,Don't It Make My Brown Eyes Blue,Crystal Gayle: The Hits,Crystal Gayle,157933,0.714,0.675,0.49,-7.818,84.409,0.353,1970s
