,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist,genre
73,(Margie's At) The Lincoln Park Inn,(Margie's At) The Lincoln Park Inn,Bobby Bare,1969-06-01,198733,42,0.724,0.364,0.318,0.000234,0.151,-13.345,0.0308,131.155,0.525,D,3,1960s,country
74,Statue of a Fool,20 All Time Greatest Hits,Jack Greene,2005,181106,27,0.845,0.474,0.249,0.00437,0.129,-14.124,0.0346,110.078,0.216,A#/Bb,3,1960s,country
75,D-I-V-O-R-C-E,Tammy's Greatest Hits,Tammy Wynette,1969,175253,44,0.836,0.619,0.33,0.0,0.154,-11.332,0.0295,99.353,0.602,A,4,1960s,country
76,Honey - 1991 - Remaster,Honey - The Best of Bobby Goldsboro,Bobby Goldsboro,1991,239066,0,0.21,0.5,0.189,3.08e-05,0.129,-17.563,0.0307,93.259,0.587,G,4,1960s,country
77,May the Bird of Paradise Fly up Your Nose,May the Bird of Paradise Fly Up Your Nose,Little Jimmy Dickens,1965,151693,42,0.738,0.66,0.801,1.04e-05,0.627,-8.446,0.115,104.374,0.867,E,4,1960s,country
78,Make the World Go Away,The Essential Eddy Arnold,Eddy Arnold,2013-11-19,157826,43,0.926,0.214,0.215,9.33e-05,0.121,-11.312,0.0318,205.359,0.477,C#/Db,3,1960s,country
79,A Six Pack To Go,20 Greatest Hits,Hank Thompson,2005,129360,28,0.489,0.67,0.413,0.00251,0.119,-14.734,0.18,165.823,0.593,A,4,1960s,country
80,The Image of Me,Timeless,Conway Twitty,2017-10-06,177333,45,0.338,0.557,0.438,8.17e-06,0.136,-6.034,0.0268,87.895,0.45,A,3,1960s,country
81,You Ain't Woman Enough - Single Version,The Definitive Collection,Loretta Lynn,2005-01-01,132320,43,0.436,0.681,0.45,0.0,0.0607,-10.888,0.072,150.148,0.817,G#/Ab,4,1960s,country
82,Talk Back Trembling Lips,Greatest Hits,Ernest Ashworth,1991-04-15,160440,41,0.751,0.575,0.435,0.0,0.0795,-11.801,0.0326,135.955,0.739,A,4,1960s,country
83,One in a Row,One Hell Of A Ride,Willie Nelson,2008-04-01,152986,39,0.724,0.545,0.194,0.000191,0.193,-10.909,0.0279,96.515,0.515,A#/Bb,4,1960s,country
84,We'll Get Ahead Someday,The Essential Porter Wagoner & Dolly Parton,Porter Wagoner,2015-10-02,117053,43,0.333,0.68,0.404,0.0,0.114,-12.732,0.0307,82.02,0.917,B,4,1960s,country
85,Don't You Ever Get Tired of Hurting Me,The Other Woman,Ray Price,1965-07-22,168240,43,0.661,0.372,0.184,0.361,0.207,-16.772,0.031,83.535,0.541,G,4,1960s,country
86,Still - Single Version,The Definitive Collection,Bill Anderson,2006-01-01,166973,45,0.678,0.561,0.142,0.00631,0.226,-18.972,0.0433,94.454,0.293,G#/Ab,4,1960s,country
