,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist
80,You Ain't Woman Enough - Single Version,The Definitive Collection,Loretta Lynn,2005-01-01,132320,43,0.436,0.681,0.45,0.0,0.0607,-10.888,0.072,150.148,0.817,8,4,1960s
81,(Margie's At) The Lincoln Park Inn,(Margie's At) The Lincoln Park Inn,Bobby Bare,1969-06-01,198733,42,0.724,0.364,0.318,0.000234,0.151,-13.345,0.0308,131.155,0.525,2,3,1960s
82,Burning Memories - Single Version,Burning Memories,Ray Price,1964-12-17,149200,40,0.899,0.32,0.297,0.000738,0.347,-15.054,0.0357,102.12,0.445,7,4,1960s
83,Timber I'm Falling,Super Hits,Ferlin Husky,2005,152800,27,0.526,0.757,0.701,4.84e-05,0.121,-7.345,0.0347,112.947,0.884,4,4,1960s
84,Branded Man - Remastered,Prison,Merle Haggard,2001-01-01,186800,43,0.386,0.731,0.465,0.0,0.0854,-8.133,0.03,120.877,0.519,2,4,1960s
85,Send Me The Pillow You Dream On,25 All-Time Greatest Hits,Johnny Tillotson,2001-01-01,173960,0,0.724,0.433,0.318,2.5e-05,0.347,-9.149,0.0271,109.32,0.432,2,4,1960s
86,Welcome to My World,The Essential Jim Reeves,Jim Reeves,1997-02-14,152600,51,0.725,0.341,0.252,0.0594,0.287,-14.869,0.0288,81.058,0.399,3,4,1960s
87,Don't You Ever Get Tired of Hurting Me,The Other Woman,Ray Price,1965-07-22,168240,43,0.661,0.372,0.184,0.361,0.207,-16.772,0.031,83.535,0.541,7,4,1960s
88,Statue of a Fool,20 All Time Greatest Hits,Jack Greene,2005,181106,28,0.845,0.474,0.249,0.00437,0.129,-14.124,0.0346,110.078,0.216,10,3,1960s
89,Still - Single Version,The Definitive Collection,Bill Anderson,2006-01-01,166973,45,0.678,0.561,0.142,0.00631,0.226,-18.972,0.0433,94.454,0.293,8,4,1960s
